ID di?n viên,Tên,H?,C?p nh?t l?n cu?i
1,PENELOPE,GUINESS,2/15/2006 9:34
2,NICK,WAHLBERG,2/15/2006 9:34
3,ED,CHASE,2/15/2006 9:34
4,JENNIFER,DAVIS,2/15/2006 9:34
5,JOHNNY,LOLLOBRIGIDA,2/15/2006 9:34
6,BETTE,NICHOLSON,2/15/2006 9:34
7,GRACE,MOSTEL,2/15/2006 9:34
8,MATTHEW,JOHANSSON,2/15/2006 9:34
9,JOE,SWANK,2/15/2006 9:34
10,CHRISTIAN,GABLE,2/15/2006 9:34
11,ZERO,CAGE,2/15/2006 9:34
12,KARL,BERRY,2/15/2006 9:34
13,UMA,WOOD,2/15/2006 9:34
14,VIVIEN,BERGEN,2/15/2006 9:34
15,CUBA,OLIVIER,2/15/2006 9:34
16,FRED,COSTNER,2/15/2006 9:34
17,HELEN,VOIGHT,2/15/2006 9:34
18,DAN,TORN,2/15/2006 9:34
19,BOB,FAWCETT,2/15/2006 9:34
20,LUCILLE,TRACY,2/15/2006 9:34
21,KIRSTEN,PALTROW,2/15/2006 9:34
22,ELVIS,MARX,2/15/2006 9:34
23,SANDRA,KILMER,2/15/2006 9:34
24,CAMERON,STREEP,2/15/2006 9:34
25,KEVIN,BLOOM,2/15/2006 9:34
26,RIP,CRAWFORD,2/15/2006 9:34
27,JULIA,MCQUEEN,2/15/2006 9:34
28,WOODY,HOFFMAN,2/15/2006 9:34
29,ALEC,WAYNE,2/15/2006 9:34
30,SANDRA,PECK,2/15/2006 9:34
31,SISSY,SOBIESKI,2/15/2006 9:34
32,TIM,HACKMAN,2/15/2006 9:34
33,MILLA,PECK,2/15/2006 9:34
34,AUDREY,OLIVIER,2/15/2006 9:34
35,JUDY,DEAN,2/15/2006 9:34
36,BURT,DUKAKIS,2/15/2006 9:34
37,VAL,BOLGER,2/15/2006 9:34
38,TOM,MCKELLEN,2/15/2006 9:34
39,GOLDIE,BRODY,2/15/2006 9:34
40,JOHNNY,CAGE,2/15/2006 9:34
41,JODIE,DEGENERES,2/15/2006 9:34
42,TOM,MIRANDA,2/15/2006 9:34
43,KIRK,JOVOVICH,2/15/2006 9:34
44,NICK,STALLONE,2/15/2006 9:34
45,REESE,KILMER,2/15/2006 9:34
46,PARKER,GOLDBERG,2/15/2006 9:34
47,JULIA,BARRYMORE,2/15/2006 9:34
48,FRANCES,DAY-LEWIS,2/15/2006 9:34
49,ANNE,CRONYN,2/15/2006 9:34
50,NATALIE,HOPKINS,2/15/2006 9:34
51,GARY,PHOENIX,2/15/2006 9:34
52,CARMEN,HUNT,2/15/2006 9:34
53,MENA,TEMPLE,2/15/2006 9:34
54,PENELOPE,PINKETT,2/15/2006 9:34
55,FAY,KILMER,2/15/2006 9:34
56,DAN,HARRIS,2/15/2006 9:34
57,JUDE,CRUISE,2/15/2006 9:34
58,CHRISTIAN,AKROYD,2/15/2006 9:34
59,DUSTIN,TAUTOU,2/15/2006 9:34
60,HENRY,BERRY,2/15/2006 9:34
61,CHRISTIAN,NEESON,2/15/2006 9:34
62,JAYNE,NEESON,2/15/2006 9:34
63,CAMERON,WRAY,2/15/2006 9:34
64,RAY,JOHANSSON,2/15/2006 9:34
65,ANGELA,HUDSON,2/15/2006 9:34
66,MARY,TANDY,2/15/2006 9:34
67,JESSICA,BAILEY,2/15/2006 9:34
68,RIP,WINSLET,2/15/2006 9:34
69,KENNETH,PALTROW,2/15/2006 9:34
70,MICHELLE,MCCONAUGHEY,2/15/2006 9:34
71,ADAM,GRANT,2/15/2006 9:34
72,SEAN,WILLIAMS,2/15/2006 9:34
73,GARY,PENN,2/15/2006 9:34
74,MILLA,KEITEL,2/15/2006 9:34
75,BURT,POSEY,2/15/2006 9:34
76,ANGELINA,ASTAIRE,2/15/2006 9:34
77,CARY,MCCONAUGHEY,2/15/2006 9:34
78,GROUCHO,SINATRA,2/15/2006 9:34
79,MAE,HOFFMAN,2/15/2006 9:34
80,RALPH,CRUZ,2/15/2006 9:34
81,SCARLETT,DAMON,2/15/2006 9:34
82,WOODY,JOLIE,2/15/2006 9:34
83,BEN,WILLIS,2/15/2006 9:34
84,JAMES,PITT,2/15/2006 9:34
85,MINNIE,ZELLWEGER,2/15/2006 9:34
86,GREG,CHAPLIN,2/15/2006 9:34
87,SPENCER,PECK,2/15/2006 9:34
88,KENNETH,PESCI,2/15/2006 9:34
89,CHARLIZE,DENCH,2/15/2006 9:34
90,SEAN,GUINESS,2/15/2006 9:34
91,CHRISTOPHER,BERRY,2/15/2006 9:34
92,KIRSTEN,AKROYD,2/15/2006 9:34
93,ELLEN,PRESLEY,2/15/2006 9:34
94,KENNETH,TORN,2/15/2006 9:34
95,DARYL,WAHLBERG,2/15/2006 9:34
96,GENE,WILLIS,2/15/2006 9:34
97,MEG,HAWKE,2/15/2006 9:34
98,CHRIS,BRIDGES,2/15/2006 9:34
99,JIM,MOSTEL,2/15/2006 9:34
100,SPENCER,DEPP,2/15/2006 9:34
101,SUSAN,DAVIS,2/15/2006 9:34
102,WALTER,TORN,2/15/2006 9:34
103,MATTHEW,LEIGH,2/15/2006 9:34
104,PENELOPE,CRONYN,2/15/2006 9:34
105,SIDNEY,CROWE,2/15/2006 9:34
106,GROUCHO,DUNST,2/15/2006 9:34
107,GINA,DEGENERES,2/15/2006 9:34
108,WARREN,NOLTE,2/15/2006 9:34
109,SYLVESTER,DERN,2/15/2006 9:34
110,SUSAN,DAVIS,2/15/2006 9:34
111,CAMERON,ZELLWEGER,2/15/2006 9:34
112,RUSSELL,BACALL,2/15/2006 9:34
113,MORGAN,HOPKINS,2/15/2006 9:34
114,MORGAN,MCDORMAND,2/15/2006 9:34
115,HARRISON,BALE,2/15/2006 9:34
116,DAN,STREEP,2/15/2006 9:34
117,RENEE,TRACY,2/15/2006 9:34
118,CUBA,ALLEN,2/15/2006 9:34
119,WARREN,JACKMAN,2/15/2006 9:34
120,PENELOPE,MONROE,2/15/2006 9:34
121,LIZA,BERGMAN,2/15/2006 9:34
122,SALMA,NOLTE,2/15/2006 9:34
123,JULIANNE,DENCH,2/15/2006 9:34
124,SCARLETT,BENING,2/15/2006 9:34
125,ALBERT,NOLTE,2/15/2006 9:34
126,FRANCES,TOMEI,2/15/2006 9:34
127,KEVIN,GARLAND,2/15/2006 9:34
128,CATE,MCQUEEN,2/15/2006 9:34
129,DARYL,CRAWFORD,2/15/2006 9:34
130,GRETA,KEITEL,2/15/2006 9:34
131,JANE,JACKMAN,2/15/2006 9:34
132,ADAM,HOPPER,2/15/2006 9:34
133,RICHARD,PENN,2/15/2006 9:34
134,GENE,HOPKINS,2/15/2006 9:34
135,RITA,REYNOLDS,2/15/2006 9:34
136,ED,MANSFIELD,2/15/2006 9:34
137,MORGAN,WILLIAMS,2/15/2006 9:34
138,LUCILLE,DEE,2/15/2006 9:34
139,EWAN,GOODING,2/15/2006 9:34
140,WHOOPI,HURT,2/15/2006 9:34
141,CATE,HARRIS,2/15/2006 9:34
142,JADA,RYDER,2/15/2006 9:34
143,RIVER,DEAN,2/15/2006 9:34
144,ANGELA,WITHERSPOON,2/15/2006 9:34
145,KIM,ALLEN,2/15/2006 9:34
146,ALBERT,JOHANSSON,2/15/2006 9:34
147,FAY,WINSLET,2/15/2006 9:34
148,EMILY,DEE,2/15/2006 9:34
149,RUSSELL,TEMPLE,2/15/2006 9:34
150,JAYNE,NOLTE,2/15/2006 9:34
151,GEOFFREY,HESTON,2/15/2006 9:34
152,BEN,HARRIS,2/15/2006 9:34
153,MINNIE,KILMER,2/15/2006 9:34
154,MERYL,GIBSON,2/15/2006 9:34
155,IAN,TANDY,2/15/2006 9:34
156,FAY,WOOD,2/15/2006 9:34
157,GRETA,MALDEN,2/15/2006 9:34
158,VIVIEN,BASINGER,2/15/2006 9:34
159,LAURA,BRODY,2/15/2006 9:34
160,CHRIS,DEPP,2/15/2006 9:34
161,HARVEY,HOPE,2/15/2006 9:34
162,OPRAH,KILMER,2/15/2006 9:34
163,CHRISTOPHER,WEST,2/15/2006 9:34
164,HUMPHREY,WILLIS,2/15/2006 9:34
165,AL,GARLAND,2/15/2006 9:34
166,NICK,DEGENERES,2/15/2006 9:34
167,LAURENCE,BULLOCK,2/15/2006 9:34
168,WILL,WILSON,2/15/2006 9:34
169,KENNETH,HOFFMAN,2/15/2006 9:34
170,MENA,HOPPER,2/15/2006 9:34
171,OLYMPIA,PFEIFFER,2/15/2006 9:34
172,GROUCHO,WILLIAMS,2/15/2006 9:34
173,ALAN,DREYFUSS,2/15/2006 9:34
174,MICHAEL,BENING,2/15/2006 9:34
175,WILLIAM,HACKMAN,2/15/2006 9:34
176,JON,CHASE,2/15/2006 9:34
177,GENE,MCKELLEN,2/15/2006 9:34
178,LISA,MONROE,2/15/2006 9:34
179,ED,GUINESS,2/15/2006 9:34
180,JEFF,SILVERSTONE,2/15/2006 9:34
181,MATTHEW,CARREY,2/15/2006 9:34
182,DEBBIE,AKROYD,2/15/2006 9:34
183,RUSSELL,CLOSE,2/15/2006 9:34
184,HUMPHREY,GARLAND,2/15/2006 9:34
185,MICHAEL,BOLGER,2/15/2006 9:34
186,JULIA,ZELLWEGER,2/15/2006 9:34
187,RENEE,BALL,2/15/2006 9:34
188,ROCK,DUKAKIS,2/15/2006 9:34
189,CUBA,BIRCH,2/15/2006 9:34
190,AUDREY,BAILEY,2/15/2006 9:34
191,GREGORY,GOODING,2/15/2006 9:34
192,JOHN,SUVARI,2/15/2006 9:34
193,BURT,TEMPLE,2/15/2006 9:34
194,MERYL,ALLEN,2/15/2006 9:34
195,JAYNE,SILVERSTONE,2/15/2006 9:34
196,BELA,WALKEN,2/15/2006 9:34
197,REESE,WEST,2/15/2006 9:34
198,MARY,KEITEL,2/15/2006 9:34
199,JULIA,FAWCETT,2/15/2006 9:34
200,THORA,TEMPLE,2/15/2006 9:34
201,TOM,CRUISE,36:14.8
202,TOM,HANKS,36:14.8
203,TOM,CRUISE,36:14.8
204,TOM,HANKS,36:14.8
205,TOM,CRUISE,36:16.0
206,TOM,HANKS,36:16.0
207,TOM,CRUISE,36:16.0
208,TOM,HANKS,36:16.0
